Item_Identifier,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_years,MRP_group_Low MRP,MRP_group_Medium MRP,MRP_group_High MRP,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Categoric_Type_Drink,Item_Categoric_Type_Food,Item_Categoric_Type_Non-Consumable,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Item_Fat_Content_LF,Item_Fat_Content_NE,Item_Fat_Content_REG
NCP05,2428.8384,153.3024,19.6,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDV49,5815.0972,265.2226,10.0,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDL12,2576.646,60.622,15.85,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDS02,780.3176,196.8794,10.195000000000002,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
NCL17,3134.5864,143.8812,7.39,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
FDM40,850.8924,141.5154,10.195,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
FDR13,810.9444,117.0492,9.895,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDA43,3121.2704,196.3794,10.895,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCP18,4815.0656,151.4708,12.15,OUT017,6,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDK21,6258.52,249.0408,7.905,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCX54,2117.244,106.1622,9.195,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
DRK35,796.9626,38.0506,8.365,OUT049,14,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDY21,4910.275,194.511,15.1,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDI26,892.172,180.0344,5.9399999999999995,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDM20,3185.1872,246.9144,10.0,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDV27,1062.6168,87.3514,7.97,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDF09,484.7024,38.2848,6.215,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDY40,147.8076,51.0692,15.5,OUT019,28,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDY45,2543.356,255.8356,17.5,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDC46,184.4266,185.4266,17.7,OUT010,15,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDH19,4865.6664,172.5738,19.35,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDZ03,1118.5439999999999,186.024,13.65,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
DRH37,2302.3364,164.8526,17.6,OUT045,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
NCI17,2027.361,95.84100000000001,8.645,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
FDJ58,3435.528,170.1764,15.6,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDL12,599.22,59.222,15.85,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDH35,4604.6728,164.7526,18.25,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDG02,2285.0256,189.6188,7.855,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCZ18,5580.7356,254.3698,7.825,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDC29,2290.3520000000003,114.0176,8.39,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDQ10,1207.0954,172.3422,12.85,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDN48,643.1628,89.9804,13.349999999999998,OUT019,28,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDL04,1587.933,104.9622,19.0,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDV25,5305.0944,222.5456,5.905,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDD58,1697.79,101.87,7.76,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDN04,1427.4752,180.3344,11.8,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDV45,4693.89,187.9556,16.75,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCL18,583.2408,194.6136,18.849999999999998,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
FDR12,3091.9752,171.3764,12.599999999999998,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDG20,2479.4392,177.0028,15.5,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDZ55,2716.4640000000004,160.99200000000002,6.055,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDQ49,3285.723,155.963,20.2,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDN33,661.8052,95.6436,6.305,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDN27,1523.3504,117.2808,20.85,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDW20,369.519,122.17299999999999,20.75,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
DRG27,690.4346,39.9138,8.895,OUT049,14,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
DRI25,1381.535,55.1614,19.6,OUT045,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDA44,622.523,57.893,19.7,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCR17,1274.3412,114.5492,9.8,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDU04,487.3656,120.0414,7.93,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDF41,1231.73,246.046,12.15,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDB56,3755.112,187.4556,8.75,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCP18,4363.6532,149.9708,12.150000000000002,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
FDB56,1314.2892,187.8556,8.75,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDT28,1805.6496,151.0708,13.3,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDD10,2854.9504,178.5344,20.599999999999998,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDW57,3896.2616,179.1028,8.31,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
DRB48,667.7974,38.7822,16.75,OUT013,26,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
FDP09,3185.853,212.0902,19.75,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
FDH14,2247.7408,141.1838,17.1,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDA47,1794.3310000000001,163.121,10.5,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDG12,2530.7058,121.3098,6.635,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
DRE60,679.1160000000001,225.372,9.394999999999998,OUT019,28,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
DRK49,812.2760000000001,41.4138,14.15,OUT013,26,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
FDD03,699.09,232.53,13.3,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDS52,2732.4432,102.4016,8.89,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDW39,176.437,176.937,6.6899999999999995,OUT019,28,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDX34,4097.3332,121.7098,6.195,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDV11,3151.8972,173.2054,9.1,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDD17,5942.265,239.0906,7.5,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDZ16,4843.695,192.4478,16.85,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDZ46,2542.0244,109.0228,7.485,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
DRA12,2552.6772,140.3154,11.6,OUT017,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDY58,1141.847,227.0694,11.65,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCF19,680.4476,47.5034,13.0,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
DRJ13,2085.9514,159.0578,12.65,OUT045,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDB14,186.424,92.512,20.25,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
FDJ38,3036.048,190.153,8.6,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDW11,866.8716,62.7194,12.6,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDL40,868.8689999999999,95.041,17.7,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
DRI49,1137.1864,82.4276,14.15,OUT046,16,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
FDV38,928.1252,52.7956,19.25,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
DRG23,762.341,151.7682,8.88,OUT013,26,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
NCP30,707.0796,40.2822,20.5,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDY25,7968.2944,180.5976,12.0,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
NCH54,1438.128,160.292,13.5,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
NCR53,6976.2524,224.4404,12.150000000000002,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
FDS52,101.2016,101.7016,8.89,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDG02,952.0939999999999,188.5188,7.855,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCO26,1969.4364,116.0492,7.235,OUT046,16,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
FDH35,5262.4832,165.4526,18.25,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDB51,1314.2892,60.5852,6.92,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDX44,535.3032,90.8172,9.3,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCN07,263.6568,132.1284,18.5,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
NCC31,1402.1748,154.5972,8.02,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
NCX54,1693.7952,105.1622,9.195,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
NCO55,2143.876,105.5938,12.8,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
NCC30,2676.5159999999996,177.6344,16.6,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDI16,905.488,53.06399999999999,14.0,OUT035,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDP16,7370.406,246.3802,18.6,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDB11,6301.1312,226.8404,16.0,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCB06,1597.92,160.692,17.6,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDA45,529.311,178.237,21.25,OUT035,9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCO26,1969.4364,117.5492,7.235,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
DRJ25,1034.6532,50.3692,14.6,OUT017,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDR28,1794.3310000000001,161.52100000000002,13.85,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDI04,2768.3964,197.6426,13.65,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
DRK12,898.83,31.29,9.5,OUT027,28,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
FDX20,3169.208,226.172,7.365,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
NCI18,3589.9936,223.5746,18.35,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
FDB36,262.3252,132.5626,5.465,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDN13,1910.1802,99.8358,18.6,OUT017,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
DRD24,1701.7848,140.9154,13.85,OUT017,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDQ28,2471.4496,154.5656,14.0,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDM22,1331.6,54.763999999999996,14.0,OUT013,26,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDR07,1808.9786,97.0094,21.349999999999998,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDV25,3315.684,222.5456,5.905,OUT018,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
DRF49,2618.5914,114.2518,7.27,OUT046,16,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
FDW51,2769.728,214.55599999999998,6.155,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
DRL01,5375.0034,233.4958,19.5,OUT017,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDP25,2838.9712,216.8824,15.2,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDL50,1743.0644,125.0046,12.15,OUT018,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
NCB30,5555.4352,198.8084,14.599999999999998,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
FDW11,619.194,61.9194,12.6,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCM43,2120.573,164.821,14.5,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDK44,3823.0236,173.0738,16.6,OUT017,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDM15,1360.2294,151.4366,11.8,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDS31,3969.4996,178.8318,13.1,OUT013,26,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDI32,345.5502,115.1834,17.7,OUT010,15,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDR47,585.2382,196.5794,17.85,OUT010,15,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
FDB35,1010.6844,92.6804,12.3,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCU05,161.1236,81.4618,11.8,OUT010,15,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
DRY23,42.6112,42.1112,9.394999999999998,OUT019,28,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
FDO24,3010.7476,157.4604,11.1,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDQ28,6024.1584,153.0656,14.0,OUT027,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDV39,988.7130000000001,198.1426,11.3,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
NCO17,239.688,117.944,10.0,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
FDU50,1374.2112,112.8176,5.75,OUT013,26,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
FDT12,4739.8302,226.8062,6.215,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDK58,1012.0160000000001,100.0016,11.35,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
FDO08,657.8104,165.7526,11.099999999999998,OUT019,28,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
NCW29,778.9860000000001,130.431,14.0,OUT049,14,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDE04,2336.958,179.766,19.75,OUT045,11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
NCB19,2233.0932,85.0882,6.525,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDV15,1661.8368,103.9648,10.3,OUT049,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDL58,4745.8224,264.7568,5.78,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDA08,3124.5994,164.1526,11.85,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDT43,467.3916,50.1324,16.35,OUT018,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
NCX06,5070.7328,182.5976,17.599999999999998,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
FDT20,540.6296,37.6164,10.5,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDB41,992.7078,48.0718,19.0,OUT046,16,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
NCN55,6008.845,238.8538,14.6,OUT049,14,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
FDE40,2105.2596,62.9194,15.599999999999998,OUT027,28,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
FDX49,5359.69,232.63,4.615000000000001,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
NCM53,745.696,104.62799999999999,18.75,OUT045,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
FDE36,3275.736,161.8868,5.26,OUT035,9,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDN57,1701.7848,140.2154,18.25,OUT045,11,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
FDI24,6704.606,177.937,10.299999999999999,OUT027,28,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
FDI19,4119.9704,242.7512,15.1,OUT046,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
